Day,GenSurvP,GenDayOnsetP,GenCondDayOnsetP,GenShedFinishedP,AsymptSurvP,AsymptDayOnsetP,AsymptCondDayOnsetP,AsymptShedFinishedP,SurvShedTotP
0,1,0,0,0,1,0,0,0,1
1,0.99860803,0.00139197,0.00139197,0,1,4.47E-11,4.47E-11,0,0.998816825
2,0.964959729,0.033648301,0.033695203,0,0.999990746,9.25E-06,9.25E-06,0,0.97021577
3,0.868977973,0.095981756,0.099467111,0,0.998624197,0.001366549,0.001366562,0,0.888631277
4,0.736352353,0.13262562,0.152622534,0,0.981254654,0.017369543,0.017393473,0,0.7758995
5,0.599675239,0.136677114,0.18561374,0.054054054,0.914900069,0.066354585,0.067622186,0.003586734,0.659185943
6,0.477003106,0.122672132,0.204564278,0.094594595,0.785940731,0.128959338,0.140954561,0.015785591,0.553084802
7,0.374509638,0.102493469,0.214869604,0.121621622,0.618961292,0.16697944,0.212458056,0.036093901,0.462919107
8,0.292151779,0.082357859,0.219908517,0.148648649,0.451683097,0.167278195,0.27025631,0.060959579,0.389185075
9,0.227382889,0.06476889,0.221696031,0.189189189,0.310106208,0.141576889,0.313442965,0.087744395,0.330113796
10,0.177029994,0.050352895,0.221445402,0.216216216,0.203204878,0.10690133,0.344724895,0.110858196,0.283846765
11,0.138100323,0.038929671,0.21990438,0.256756757,0.128610878,0.074594,0.367087644,0.13001071,0.247883668
12,0.108057239,0.030043084,0.217545355,0.310810811,0.079362187,0.049248691,0.382927881,0.145317736,0.220050993
13,0.084860215,0.023197024,0.214673482,0.378378378,0.048093057,0.031269129,0.39400539,0.157149298,0.198558788
14,0.066913162,0.017947053,0.211489601,0.432432432,0.028779856,0.019313201,0.401579817,0.165500953,0.182051045
15,0.052986669,0.013926493,0.208127852,0.486486486,0.017079367,0.011700489,0.406551332,0.171193082,0.169359707
16,0.042141423,0.010845247,0.204678779,0.540540541,0.010084198,0.006995169,0.409568391,0.174974255,0.159574071
17,0.033662405,0.008479018,0.20120388,0.554054054,0.005938548,0.004145651,0.411103655,0.177271169,0.152022369
18,0.027005833,0.006656572,0.197744982,0.621621622,0.003494799,0.002443749,0.411506107,0.178790256,0.14613642
19,0.021757779,0.005248054,0.194330402,0.662162162,0.002058308,0.001436491,0.411036717,0.179741446,0.141532895
20,0.017602498,0.00415528,0.190979075,0.662162162,0.001214622,0.000843686,0.409893001,0.180300103,0.137917108
21,0.01429845,0.003304048,0.187703361,0.689189189,0.000718782,0.00049584,0.40822611,0.180641831,0.135057408
22,0.011660229,0.002638221,0.184510978,0.702702703,0.000426846,0.000291935,0.406152888,0.180846975,0.132784149
23,0.009544989,0.00211524,0.181406361,0.756756757,0.000254501,0.000172345,0.403764474,0.180977398,0.130966631
24,0.007842243,0.001702746,0.178391612,0.783783784,0.000152412,0.000102089,0.401132531,0.181057414,0.129507295
25,0.006466187,0.001376056,0.175467181,0.824324324,9.17E-05,6.07E-05,0.398313809,0.181107457,0.12833014
26,0.005349914,0.001116273,0.172632359,0.851351351,5.54E-05,3.63E-05,0.395353526,0.181138323,0.127376678
27,0.00444104,0.000908873,0.169885627,0.864864865,3.37E-05,2.18E-05,0.392287904,0.181157136,0.126601314
28,0.003698388,0.000742653,0.167224912,0.891891892,2.06E-05,1.31E-05,0.389146091,0.181168831,0.125968305
29,0.003089457,0.000608931,0.164647776,0.905405405,1.26E-05,7.94E-06,0.385951625,0.181176024,0.125449634
30,0.002588496,0.00050096,0.162151551,0.945945946,7.80E-06,4.84E-06,0.382723574,0.1811806,0.125023132
31,0.002175027,0.000413469,0.159733439,0.959459459,4.84E-06,2.96E-06,0.379477413,0.18118344,0.124671257
32,0.001832698,0.000342329,0.157390582,0.959459459,3.02E-06,1.82E-06,0.376225719,0.181185188,0.124380015
33,0.00154841,0.000284288,0.155120116,0.959459459,1.89E-06,1.13E-06,0.372978716,0.181186269,0.124138208
34,0.001311628,0.000236782,0.152919208,0.972972973,1.19E-06,7.00E-07,0.369744711,0.18118695,0.123936841
35,0.001113854,0.000197774,0.150785084,0.986486486,7.56E-07,4.37E-07,0.366530439,0.181187381,0.123768669
36,0.000948207,0.000165647,0.148715041,0.986486486,4.81E-07,2.75E-07,0.363341347,0.181187652,0.123627828
37,0.000809099,0.000139108,0.146706468,0.986486486,3.08E-07,1.73E-07,0.360181819,0.181187823,0.123509561
38,0.000691977,0.000117123,0.144756846,0.986486486,1.98E-07,1.10E-07,0.357055357,0.181187932,0.12340999
39,0.000593118,9.89E-05,0.142863758,0.986486486,1.28E-07,7.01E-08,0.353964737,0.181188001,0.12332595
40,0.000509474,8.36E-05,0.141024886,0.986486486,8.30E-08,4.49E-08,0.350912127,0.181188045,0.123254846
41,0.000438536,7.09E-05,0.139238013,0.986486486,5.41E-08,2.89E-08,0.347899196,0.181188074,0.123194544
42,0.000378237,6.03E-05,0.137501022,0.986486486,3.55E-08,1.87E-08,0.344927187,0.181188092,0.123143287
43,0.000326868,5.14E-05,0.135811894,0.986486486,2.33E-08,1.21E-08,0.341997002,0.181188104,0.123099622
44,0.000283012,4.39E-05,0.134168703,1,1.54E-08,7.91E-09,0.339109247,0.181188112,0.123062343
