discount,asymp
1,0
0.99996,0
0.988118,0
0.899577,0
0.717612,0
0.510268,0
0.335471,0.015264216
0.21171,0.037920162
0.130222,0.063406595
0.079165,0.090418743
0.047696,0.121617135
0.028962,0.151787622
0.017727,0.185244216
0.010941,0.419145324
0.006721,0.590584392
0.004203,0.731969797
0.002577,0.83122677
0.001599,0.896266297
0.001007,0.936939068
0.000643,0.961967324
0.000412,0.976884851
0.000272,0.985840486
0.000179,0.991258865
0.000117,0.994623797
0.000077,0.996638419
0.000052,0.997934486
0.000035,0.998715554
0.000024,0.999189392
0.000016,0.999481541
